time,<1,1,2,3,4,5,6,7,8,9,10,20,21,>40,SafeLow (<30m),Standard (<5m),Fast (<2m),
15-38-10,0,127.1,14.3,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-38-43,0,127.8,13.9,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-39-15,0,126.9,13.2,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-39-50,0,127.4,12.7,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-40-23,0,127.4,12.7,1.6,0.9,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
15-40-56,0,125.2,12.3,1.6,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-41-28,0,125.2,12.3,1.6,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-42-1,0,123.2,11.6,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-42-34,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4,
15-43-6,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4,
15-43-40,0,173.9,11.5,1.5,0.9,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-44-14,0,170,10.8,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-44-46,0,184,10.6,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
15-45-19,0,184,10.6,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.4,
15-45-52,0,184,10.5,1.5,0.9,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,2,2,4.1,
16-26-30,0,161.6,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.1,5,
16-27-3,0,162.4,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.1,5,
16-27-35,0,162.4,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.1,5,
16-28-8,0,162.4,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.1,5,
16-28-41,0,162.4,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.1,5,
16-29-13,0,162.4,4.5,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2.05,4.4,
16-29-46,0,161.7,4.3,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2,5,
16-30-18,0,161.7,4.3,1.4,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,2,4.4,
16-30-51,0,165.7,4.4,1.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5,
16-31-24,0,167.3,4.4,1.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,5,
16-31-57,0,167.3,4.4,1.5,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.05,5,
16-32-29,0,165,4.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.1,4.4,
16-33-1,0,164.3,4.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.05,4.1,
16-33-34,0,164.3,4.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2.05,4.1,
16-34-6,0,164.3,4.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,2,4.1,
16-34-39,0,163.4,4.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.8,2,4.4,
16-35-11,0,164.1,3.9,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.6,1.6,4.1,
16-35-44,0,164.1,3.9,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-36-16,0,162.4,3.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-36-49,0,162.4,3.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-43-11,0,162.7,3.4,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-43-44,0,162.7,3.4,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-44-16,0,164.9,3.2,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-44-49,0,164.9,3.2,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-45-22,0,165,3.2,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-45-54,0,166.6,3.2,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.8,4.1,
16-46-27,0,166.6,3.2,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.8,4.1,
16-46-59,0,164.1,3.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.8,4.1,
16-47-32,0,164.1,3.1,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.8,4.1,
16-48-8,0,159.6,3,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-48-41,0,159.6,3,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-49-13,0,163.6,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.5,1.5,4.1,
16-49-46,0,163.6,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.45,1.5,4.4,
16-50-19,0,164.8,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-50-51,0,162.1,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-51-24,0,162.1,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-51-57,0,162.1,2.8,1.2,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-52-30,0,158.3,2.7,1.1,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-53-2,0,158.3,2.7,1.1,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
16-53-35,0,158.3,2.7,1.1,0.7,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.5,4.1,
17-16-16,0,151.4,2.2,1.1,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,2,3.1,
17-16-48,0,151.4,2.2,1.1,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,1.8,4,
17-17-21,0,151.4,2.2,1.1,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,1.6,4,
17-17-53,0,152.2,2.2,1.1,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,1.6,4,
17-18-26,0,152.2,2.2,1.1,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1.4,1.6,4,
17-18-59,0,157.7,2.3,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,1.8,4,
17-19-32,0,157.7,2.3,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-20-4,0,157.7,2.3,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-20-37,0,157.7,2.3,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-21-10,0,157.7,2.3,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-21-43,0,155.4,2.3,1.1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-22-17,0,155.4,2.3,1.1,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-22-49,0,161.5,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-23-22,0,161.5,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
17-23-54,0,161.5,2.4,1.2,0.7,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.4,2,4,
